field_key,label,field_type,required,example_or_options,notes
submission_id,Submission ID,hidden/system,yes,auto-generated UUID or form response ID,Should be generated by the form or workflow if the form tool cannot do it natively.
submitted_at,Submitted At,hidden/system,yes,ISO timestamp,Should be captured automatically by the form platform or webhook layer.
full_name,Full Name,short_text,yes,Jordan Reed,Use one full-name field to keep the form simple.
email,Email,email,yes,jordan@example.com,Primary contact field and part of the dedup key.
phone,Phone,phone,no,+1 555 010 1001,Optional but increases scoring confidence.
property_type,Property Type,single_select,no,"3-bedroom home; condo; townhome; single-family home; investment property; luxury property",Keep choices aligned with your market.
budget_range,Budget Range,single_select,no,"<$350k; $350k-$500k; $500k-$650k; $650k-$850k; $850k-$1.1m; $1.1m-$1.5m; $1.5m+",Optional but useful for qualification.
timeline,Timeline,single_select,no,"ASAP; within 30 days; within 60 days; within 90 days; 3-6 months; 6+ months",Used in scoring and follow-up urgency.
message,How can we help?,long_text,yes,"We are relocating next month and want to schedule viewings this week.",Required free-text context for scoring.
source_channel,Source Channel,single_select,yes,"website; instagram; partner-referral; paid-search; event",Required because it is part of the dedup key.
